"code","name"
"c19","Commander 2019"
"ps19","San Diego Comic-Con 2019"
"pm20","Core Set 2020 Promos"
"tm20","Core Set 2020 Tokens"
"ppp1","M20 Promo Packs"
"m20","Core Set 2020"
"ss2","Signature Spellbook: Gideon"
"pmh1","Modern Horizons Promos"
"mh1","Modern Horizons"
"tmh1","Modern Horizons Tokens"
"twar","War of the Spark Tokens"
"war","War of the Spark"
"j19","Judge Gift Cards 2019"
"pwar","War of the Spark Promos"
"prw2","RNA Ravnica Weekend"
"gk2","RNA Guild Kit"
"tgk2","RNA Guild Kit Tokens"
"prna","Ravnica Allegiance Promos"
"rna","Ravnica Allegiance"
"trna","Ravnica Allegiance Tokens"
"pf19","MagicFest 2019"
"opca","Planechase Anthology Planes"
"puma","Ultimate Box Topper"
"uma","Ultimate Masters"
"tuma","Ultimate Masters Tokens"
"gnt","Game Night"
"g18","M19 Gift Pack"
"tgk1","GRN Guild Kit Tokens"
"gk1","GRN Guild Kit"
"pgrn","Guilds of Ravnica Promos"
"tgrn","Guilds of Ravnica Tokens"
"grn","Guilds of Ravnica"
"prwk","GRN Ravnica Weekend"
"tmed","Mythic Edition Tokens"
"med","Mythic Edition"
"oc18","Commander 2018 Oversized"
"c18","Commander 2018"
"tc18","Commander 2018 Tokens"
"htr17","2017 Heroes of the Realm"
"ps18","San Diego Comic-Con 2018"
"ana","Arena New Player Experience"
"pana","MTG Arena Promos"
"pss3","M19 Standard Showdown"
"pm19","Core Set 2019 Promos"
"m19","Core Set 2019"
"tm19","Core Set 2019 Tokens"
"gs1","Global Series Jiang Yanggu & Mu Yanling"
"ss1","Signature Spellbook: Jace"
"pbbd","Battlebond Promos"
"bbd","Battlebond"
"tbbd","Battlebond Tokens"
"tcm2","Commander Anthology Volume II Tokens"
"cm2","Commander Anthology Volume II"
"tdom","Dominaria Tokens"
"dom","Dominaria"
"pdom","Dominaria Promos"
"ddu","Duel Decks: Elves vs. Inventors"
"tddu","Duel Decks: Elves vs. Inventors Tokens"
"a25","Masters 25"
"ta25","Masters 25 Tokens"
"plny","2018 Lunar New Year"
"pnat","Nationals Promos"
"prix","Rivals of Ixalan Promos"
"trix","Rivals of Ixalan Tokens"
"rix","Rivals of Ixalan"
"j18","Judge Gift Cards 2018"
"f18","Friday Night Magic 2018"
"ust","Unstable"
"tima","Iconic Masters Tokens"
"pxtc","XLN Treasure Chest"
"v17","From the Vault: Transform"
"e02","Explorers of Ixalan"
"ima","Iconic Masters"
"tust","Unstable Tokens"
"pust","Unstable Promos"
"ddt","Duel Decks: Merfolk vs. Goblins"
"tddt","Duel Decks: Merfolk vs. Goblins Tokens"
"g17","2017 Gift Pack"
"xln","Ixalan"
"txln","Ixalan Tokens"
"pxln","Ixalan Promos"
"pss2","XLN Standard Showdown"
"h17","HasCon 2017"
"htr","2016 Heroes of the Realm"
"te01","Archenemy: Nicol Bolas Tokens"
"oc17","Commander 2017 Oversized"
"c17","Commander 2017"
"tc17","Commander 2017 Tokens"
"ps17","San Diego Comic-Con 2017"
"hou","Hour of Devastation"
"phou","Hour of Devastation Promos"
"thou","Hour of Devastation Tokens"
"oe01","Archenemy: Nicol Bolas Schemes"
"e01","Archenemy: Nicol Bolas"
"tcma","Commander Anthology Tokens"
"cma","Commander Anthology"
"akh","Amonkhet"
"pakh","Amonkhet Promos"
"takh","Amonkhet Tokens"
"mp2","Amonkhet Invocations"
"w17","Welcome Deck 2017"
"dds","Duel Decks: Mind vs. Might"
"tdds","Duel Decks: Mind vs. Might Tokens"
"tmm3","Modern Masters 2017 Tokens"
"mm3","Modern Masters 2017"
"taer","Aether Revolt Tokens"
"aer","Aether Revolt"
"paer","Aether Revolt Promos"
"l17","League Tokens 2017"
"j17","Judge Gift Cards 2017"
"f17","Friday Night Magic 2017"
"pca","Planechase Anthology"
"tpca","Planechase Anthology Tokens"
"pz2","Treasure Chest"
"oc16","Commander 2016 Oversized"
"c16","Commander 2016"
"tc16","Commander 2016 Tokens"
"ps16","San Diego Comic-Con 2016"
"kld","Kaladesh"
"tkld","Kaladesh Tokens"
"pkld","Kaladesh Promos"
"mps","Kaladesh Inventions"
"ddr","Duel Decks: Nissa vs. Ob Nixilis"
"tcn2","Conspiracy: Take the Crown Tokens"
"cn2","Conspiracy: Take the Crown"
"v16","From the Vault: Lore"
"temn","Eldritch Moon Tokens"
"emn","Eldritch Moon"
"pemn","Eldritch Moon Promos"
"ema","Eternal Masters"
"tema","Eternal Masters Tokens"
"tsoi","Shadows over Innistrad Tokens"
"soi","Shadows over Innistrad"
"psoi","Shadows over Innistrad Promos"
"w16","Welcome Deck 2016"
"ddq","Duel Decks: Blessed vs. Cursed"
"togw","Oath of the Gatewatch Tokens"
"ogw","Oath of the Gatewatch"
"pogw","Oath of the Gatewatch Promos"
"l16","League Tokens 2016"
"f16","Friday Night Magic 2016"
"j16","Judge Gift Cards 2016"
"pz1","Legendary Cube Prize Pack"
"c15","Commander 2015"
"tc15","Commander 2015 Tokens"
"oc15","Commander 2015 Oversized"
"bfz","Battle for Zendikar"
"tbfz","Battle for Zendikar Tokens"
"pss1","BFZ Standard Series"
"exp","Zendikar Expeditions"
"pbfz","Battle for Zendikar Promos"
"ddp","Duel Decks: Zendikar vs. Eldrazi"
"v15","From the Vault: Angels"
"cp3","Magic Origins Clash Pack"
"pori","Magic Origins Promos"
"ori","Magic Origins"
"tori","Magic Origins Tokens"
"ps15","San Diego Comic-Con 2015"
"tmm2","Modern Masters 2015 Tokens"
"mm2","Modern Masters 2015"
"tpr","Tempest Remastered"
"ptkdf","Tarkir Dragonfury"
"tdtk","Dragons of Tarkir Tokens"
"dtk","Dragons of Tarkir"
"pdtk","Dragons of Tarkir Promos"
"ddo","Duel Decks: Elspeth vs. Kiora"
"pfrf","Fate Reforged Promos"
"cp2","Fate Reforged Clash Pack"
"tfrf","Fate Reforged Tokens"
"frf","Fate Reforged"
"ugin","Ugin's Fate"
"l15","League Tokens 2015"
"j15","Judge Gift Cards 2015"
"f15","Friday Night Magic 2015"
"tjvc","Duel Decks Anthology: Jace vs. Chandra Tokens"
"tdvd","Duel Decks Anthology: Divine vs. Demonic Tokens"
"tgvl","Duel Decks Anthology: Garruk vs. Liliana Tokens"
"jvc","Duel Decks Anthology: Jace vs. Chandra"
"gvl","Duel Decks Anthology: Garruk vs. Liliana"
"tevg","Duel Decks Anthology: Elves vs. Goblins Tokens"
"dvd","Duel Decks Anthology: Divine vs. Demonic"
"evg","Duel Decks Anthology: Elves vs. Goblins"
"oc14","Commander 2014 Oversized"
"tc14","Commander 2014 Tokens"
"c14","Commander 2014"
"tktk","Khans of Tarkir Tokens"
"ktk","Khans of Tarkir"
"pktk","Khans of Tarkir Promos"
"ddn","Duel Decks: Speed vs. Cunning"
"v14","From the Vault: Annihilation"
"cp1","Magic 2015 Clash Pack"
"m15","Magic 2015"
"tm15","Magic 2015 Tokens"
"pm15","Magic 2015 Promos"
"ppc1","M15 Prerelease Challenge"
"ps14","San Diego Comic-Con 2014"
"vma","Vintage Masters"
"cns","Conspiracy"
"tcns","Conspiracy Tokens"
"tmd1","Modern Event Deck 2014 Tokens"
"md1","Modern Event Deck 2014"
"tdag","Defeat a God"
"jou","Journey into Nyx"
"tjou","Journey into Nyx Tokens"
"thp3","Journey into Nyx Hero's Path"
"pjou","Journey into Nyx Promos"
"tddm","Duel Decks: Jace vs. Vraska Tokens"
"ddm","Duel Decks: Jace vs. Vraska"
"tbth","Battle the Horde"
"thp2","Born of the Gods Hero's Path"
"bng","Born of the Gods"
"tbng","Born of the Gods Tokens"
"pbng","Born of the Gods Promos"
"pdp14","Duels of the Planeswalkers Promos 2014"
"pi14","IDW Comics 2014"
"l14","League Tokens 2014"
"f14","Friday Night Magic 2014"
"j14","Judge Gift Cards 2014"
"oc13","Commander 2013 Oversized"
"c13","Commander 2013"
"tfth","Face the Hydra"
"ths","Theros"
"thp1","Theros Hero's Path"
"tths","Theros Tokens"
"pths","Theros Promos"
"tddl","Duel Decks: Heroes vs. Monsters Tokens"
"ddl","Duel Decks: Heroes vs. Monsters"
"v13","From the Vault: Twenty"
"tm14","Magic 2014 Tokens"
"m14","Magic 2014"
"pm14","Magic 2014 Promos"
"psdc","San Diego Comic-Con 2013"
"tmma","Modern Masters Tokens"
"mma","Modern Masters"
"dgm","Dragon's Maze"
"tdgm","Dragon's Maze Tokens"
"pdgm","Dragon's Maze Promos"
"pwcq","World Magic Cup Qualifiers"
"ddk","Duel Decks: Sorin vs. Tibalt"
"tddk","Duel Decks: Sorin vs. Tibalt Tokens"
"gtc","Gatecrash"
"tgtc","Gatecrash Tokens"
"pgtc","Gatecrash Promos"
"pdp13","Duels of the Planeswalkers Promos 2013"
"pi13","IDW Comics 2013"
"l13","League Tokens 2013"
"j13","Judge Gift Cards 2013"
"f13","Friday Night Magic 2013"
"ocm1","Commander's Arsenal Oversized"
"cm1","Commander's Arsenal"
"rtr","Return to Ravnica"
"prtr","Return to Ravnica Promos"
"trtr","Return to Ravnica Tokens"
"ddj","Duel Decks: Izzet vs. Golgari"
"tddj","Duel Decks: Izzet vs. Golgari Tokens"
"v12","From the Vault: Realms"
"m13","Magic 2013"
"tm13","Magic 2013 Tokens"
"pm13","Magic 2013 Promos"
"opc2","Planechase 2012 Planes"
"pc2","Planechase 2012"
"tavr","Avacyn Restored Tokens"
"avr","Avacyn Restored"
"phel","Open the Helvault"
"pavr","Avacyn Restored Promos"
"tddi","Duel Decks: Venser vs. Koth Tokens"
"ddi","Duel Decks: Venser vs. Koth"
"dka","Dark Ascension"
"tdka","Dark Ascension Tokens"
"pdka","Dark Ascension Promos"
